index,sentiment,text
0,Negative,"RT @SpursJR55: Every country has something they are embarrassed &amp; ashamed of. For Americans, it's the Republican Party #GOPDebate"
1,Negative,I think donald trump is hilarious #GOPDebate
2,Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
3,Negative,"Republican talking points: Iran, Immigration, military. Hate and War. Same old shit. #GOPDebates #RepublicanDebate"
4,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
5,Negative,Right! Do u think survivors of the FOX Massacre Debate realize that? #GOPDebate #FoxDebate  https://t.co/DtVsB531LT
6,Negative,"#gopdebate Trump hates fat people? He should look in the mirror. Poor Chris Christe won't challenge him. Well, you know why. : ("
7,Negative,RT @frogi26: The are no illegal humans in the world how is that they are keep calling Latinos illegals #latinosunidos @EspuelasVox @FoxNews…
8,Negative,"RT @tanvi_madan: For the umpteenth time — Iran is not an Apple product. ih-raan not iRan.
#GOPDebate"
9,Positive,"RT @AmyMek: .@foxnews tried their best to destroy @realDonaldTrump tonight! However, it didn't work….it just exposed your network! #Fail #G…"
10,Negative,"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased."""
11,Negative,Does this remind  you of #Trump's lips #GOPDebates http://t.co/Ph9L6DrInF
12,Negative,RT @jjauthor: Now if only @realDonaldTrump will go after ISIS and Democrats like he does Rosie O'Donnell &amp; the @foxnews moderators! #GOPDeb…
13,Negative,"Correct me if I'm wrong, but I don't think #donaldtrump answered the actual question asked.  #talkingpoints #gopdebates"
14,Positive,I need to do some research but @JohnKasich is the only in the #GOPDebates that stands a chance to get my vote as far as me maybe voting #GOP
15,Negative,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
16,Negative,"RichieRichBor: RT DiabetesHeroes: The #GOPdebate was like a Disney movie. They all looked FROZEN, Megyn Kelly &amp; Tr… http://t.co/AuhlNZa3Ww"
17,Negative,RT @warriorwoman91: Many Republicans are upset about Planned Parenthood?? How can you be a human being and not be upset about those videos?…
18,Negative,It's really distracting that the little Fox/Facebook panels aren't all at the same height. #GOPDebate
19,Positive,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
20,Negative,RT @monaeltahawy: Seriously: GOP voters think God talks to presidential candidates? #ChristianBrotherhood #GOPDebates
21,Negative,"RT @tonibirdsong: ""It's time we recognize that The Supreme Court is not the Supreme Being."" - @GovMikeHuckabee #GOPDebates / 🇺🇸"
22,Positive,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
23,Negative,How has no one mentioned the Oompa Loompa moderator? #GOPDebates #youareorange #thiswholethingisridiculous
24,Negative,RT @markfbonner: You take @realDonaldTrump off the stage and last night’s #GOPDebate is watched by next to no one.
25,Negative,"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates"
26,Positive,#Carson slamming #Radicals #GOPDebates
27,Positive,"RT @GovMikeHuckabee: ""@GovMikeHuckabee had a good night...he did well tonight."" - @BretBaier #ImWithHuck #GOPDebate
https://t.co/FN6m0gMKnq"
28,Negative,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ
29,Positive,Bernie Sanders gained over 10K new likes and growing from the #GOPDebates #DebatewithBernie #feelthebern
30,Positive,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…
